Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
Kaiser et al._2006,Stratosphere,13.4,,50.5,EUPLEX_20.1 km_67.4N/22.5E_February 2003,n/a
Kaiser et al._2006,Stratosphere,13.1,,49.9,EUPLEX_20.1 km_67.6N/21.5E_February 2003,n/a
Kaiser et al._2006,Stratosphere,13.9,,50.6,EUPLEX_20.2 km_68.7N/16.5E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14,,50.9,EUPLEX_20.3 km_68.9N/15.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14,,51,EUPLEX_20.2 km_69.3N/15.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,27,,61.7,EUPLEX_20.4 km_71.1N/20.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,27.4,,62.5,EUPLEX_20.5 km_70.8N/21.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,21.3,,57.3,EUPLEX_20.4 km_70.4N/23.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,8,,45.8,EUPLEX_17.5 km_68.8N/24.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.6,,44.9,EUPLEX_12.9 km_68N/23.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,7.3,,44.7,EUPLEX_15.2 km_68.2N/24.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,8.2,,46.3,EUPLEX_16.8 km_68.3N/25.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,9.7,,47,EUPLEX_18.5 km_69.6N/31.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,10.2,,47.5,EUPLEX_18.5 km_70N/32.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,10.8,,48.3,EUPLEX_18.5 km_70.5N/33.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,10.5,,47.8,EUPLEX_18.7 km_71.9N/40.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,12.1,,49.4,EUPLEX_18.7 km_72.1N/42.6E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14.6,,51.2,EUPLEX_18.8 km_72.3N/44.5E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.1,,53.7,EUPLEX_19.8 km_71.7N/48.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.5,,53.8,EUPLEX_19.8 km_71.9N/47.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,16.5,,52.8,EUPLEX_19.8 km_72.1N/46E_February 2003,n/a
Kaiser et al._2006,Stratosphere,19.4,,55.4,EUPLEX_19.8 km_71.6N/39.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,15.9,,52.2,EUPLEX_19.8 km_71.4N/37.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,12.1,,49.3,EUPLEX_19.8 km_71.1N/36.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,12.3,,49,EUPLEX_19.8 km_69.4N/31.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,11.8,,48.9,EUPLEX_19.8 km_69.1N/30.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,11.6,,48.7,EUPLEX_19.8 km_68.7N/29E_February 2003,n/a
Kaiser et al._2006,Stratosphere,7.9,,45.5,EUPLEX_15.9 km_68.1N/23.5E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.7,,44.5,EUPLEX_11.9 km_68.3N/21.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.9,,45.1,EUPLEX_14.3 km_68.6N/22.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.8,,45.7,EUPLEX_12.6 km_70N/25.6E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.7,,44.8,EUPLEX_12 km_70N/24.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.6,,44.8,EUPLEX_12 km_70N/21E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.7,,44.6,EUPLEX_12 km_70N/20.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.8,,44.9,EUPLEX_12 km_70N/19.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,8.5,,46.3,EUPLEX_18.5 km_70N/13.5E_February 2003,n/a
Kaiser et al._2006,Stratosphere,8.3,,46.2,EUPLEX_18.5 km_69.9N/12.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,8.8,,46.3,EUPLEX_17.8 km_69.6N/12.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.5,,44.8,EUPLEX_10.6 km_67.9N/15.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.6,,44.5,EUPLEX_10 km_67.7N/16.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.6,,44.6,EUPLEX_10 km_67.5N/16.6E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.5,,44.7,EUPLEX_10 km_67.1N/19.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.6,,44.6,EUPLEX_9.4 km_67.3N/19.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,6.5,,44.7,EUPLEX_8.4 km_67.4N/19.6E_February 2003,n/a
Kaiser et al._2006,Stratosphere,84.7,,113.5,Kiruna_21.1 km_67N/26E_March 2003,n/a
Kaiser et al._2006,Stratosphere,76.1,,106.2,Kiruna_30.4 km_67.4N/24.7E_March 2003,n/a
Kaiser et al._2006,Stratosphere,8.6,,46.6,Kiruna_14.1 km_66.8N/27E_March 2003,n/a
Kaiser et al._2006,Stratosphere,38.9,,72.8,Kiruna_19.7 km_66.9N/26.3E_March 2003,n/a
Kaiser et al._2006,Stratosphere,74.5,,107.3,Kiruna_30 km_67.3N/24.8E_March 2003,n/a
Kaiser et al._2006,Stratosphere,64.4,,96.1,Kiruna_23.9 km_67.1N/25.7E_March 2003,n/a
Kaiser et al._2006,Stratosphere,20.6,,56.5,Kiruna_18.3 km_66.9N/26.5E_March 2003,n/a
Kaiser et al._2006,Stratosphere,68.2,,100.6,Kiruna_28.4 km_67.2N/25.1E_March 2003,n/a
Kaiser et al._2006,Stratosphere,10.7,,47.9,Kiruna_15.5 km_66.8N/26.8E_March 2003,n/a
Kaiser et al._2006,Stratosphere,78.8,,108.8,Kiruna_26.9 km_67.2N/25.3E_March 2003,n/a
Kaiser et al._2006,Stratosphere,147.1,,172.1,Kiruna_22.5 km_67N/25.8E_March 2003,n/a
Kaiser et al._2006,Stratosphere,67.1,,99.6,Kiruna_25.3 km_67.1N/25.5E_March 2003,n/a
Kaiser et al._2006,Stratosphere,7.1,,45.3,Kiruna_11.2 km_67.9N/22.1E_March 2003,n/a
Kim and Craig_1990,Marine,6.7,,42,S Pacific Ocean_300 to 4900 m depth,n/a
Kim and Craig_1990,Marine,6.4,,41.9,S Pacific Ocean_300 to 4900 m depth,n/a
Kim and Craig_1990,Marine,6.4,,42.2,S Pacific Ocean_300 to 4900 m depth,n/a
Kim and Craig_1990,Marine,7.6,,46,S Pacific Ocean_300 to 4900 m depth,n/a
Kim and Craig_1990,Marine,8.9,,50.7,S Pacific Ocean_300 to 4900 m depth,n/a
Kim and Craig_1990,Marine,8.7,,49.3,S Pacific Ocean_300 to 4900 m depth,n/a
Kim and Craig_1990,Marine,8.4,,48.3,S Pacific Ocean_300 to 4900 m depth,n/a
Kim and Craig_1990,Marine,6.9,,45.6,N Pacific Ocean_200 to 5000 m depth,n/a
Kim and Craig_1990,Marine,8.6,,56,N Pacific Ocean_200 to 5000 m depth,n/a
Kim and Craig_1990,Marine,9.7,,56.6,N Pacific Ocean_200 to 5000 m depth,n/a
Kim and Craig_1990,Marine,9.1,,52.4,N Pacific Ocean_200 to 5000 m depth,n/a
Kim and Craig_1990,Marine,8.8,,52.9,N Pacific Ocean_200 to 5000 m depth,n/a
Kim and Craig_1990,Marine,8.6,,45.3,NE Pacific Ocean_250 to 2800 m depth,n/a
Kim and Craig_1990,Marine,9.8,,52.6,NE Pacific Ocean_250 to 2800 m depth,n/a
Kim and Craig_1990,Marine,8.5,,51.7,NE Pacific Ocean_250 to 2800 m depth,n/a
Kim and Craig_1990,Marine,8.6,,56,NE Pacific Ocean_250 to 2800 m depth,n/a
Kim and Craig_1990,Marine,8.8,,53.5,NE Pacific Ocean_250 to 2800 m depth,n/a
Kim and Craig_1990,Marine,9.2,,57.3,NE Pacific Ocean_250 to 2800 m depth,n/a
Kim and Craig_1990,Marine,9.4,,54.7,NE Pacific Ocean_250 to 2800 m depth,n/a
Kim and Craig_1993,Soil,0.1,,43.2,Maui_sugar cane field_wet_surface flux_December 1991,yes
Kim and Craig_1993,Soil,-25,,34.6,Maui_sugar cane field_dry_surface flux_December 1991,yes
Kim and Craig_1993,Soil,-22.1,,34.8,Maui_sugar cane field_dry_surface flux_December 1991,yes
Kim and Craig_1993,Soil,-7.1,,36.1,Costa Rica_Old Growth Forest_surface flux_November 1991,yes
Kim and Craig_1993,Soil,-7.8,,33.6,Costa Rica_Old Growth Forest_surface flux_November 1991,yes
Kim and Craig_1993,Soil,-22.5,,27.2,Costa Rica_Old Growth Forest_surface flux_November 1991,yes
Koba et al._2009,Groundwater,-8.5,23.1,46.3,Kiryu Experimental Watershed_central Japan_headwater catchment_TGB_0.8 m depth_October 2002 to April 2005,n/a
Koba et al._2009,Groundwater,-7.9,19,43.2,Kiryu Experimental Watershed_central Japan_headwater catchment_SG1-75_0.8 m depth_October 2002 to April 2005,n/a
Koba et al._2009,Groundwater,-5.7,9.8,38.8,Kiryu Experimental Watershed_central Japan_headwater catchment_SG34-585_5.9 m depth_October 2002 to April 2005,n/a
Koba et al._2009,Groundwater,-0.8,19.6,43.4,Kiryu Experimental Watershed_central Japan_headwater catchment_SG1-130_1.3 m depth_October 2002 to April 2005,n/a
Koba et al._2009,Groundwater,-4.1,30,48.6,Kiryu Experimental Watershed_central Japan_headwater catchment_SG2-177_1.8 m depth_October 2002 to April 2005,n/a
Koba et al._2009,Groundwater,-0.3,24.6,45,Kiryu Experimental Watershed_central Japan_headwater catchment_SG1-250_2.5 m depth_October 2002 to April 2005,n/a
Koba et al._2009,Groundwater,-8.1,24.3,44.4,Kiryu Experimental Watershed_central Japan_headwater catchment_spring water_October 2002 to April 2005,n/a
Koehler et al._2012,Soil,6.4,20,45.8,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,1.7,19.8,44.9,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,3.8,17.8,45.8,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,2.9,14.6,44.1,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,-5.3,15.1,43,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,yes
Koehler et al._2012,Soil,-5.5,13.7,40.2,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,yes
Koehler et al._2012,Soil,-8.8,11,39.4,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,yes
Koehler et al._2012,Soil,4.9,14.8,44.7,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,5,16.4,44.7,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,6.9,10.5,43.5,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,6.7,18.1,43.5,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,3.6,21,45.2,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,1.4,17.8,45.7,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,1.4,22.2,43.8,Gigante Peninsula_Panama_tropical forest soil_profile_dry season_April 2007 to February 2010,no
Koehler et al._2012,Soil,7.4,17.3,44.7,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,no
Koehler et al._2012,Soil,-2,12.1,38.5,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,-0.1,2.9,39.2,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,-3.9,8.3,38.1,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,-6.7,11,37.3,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,-6.5,11.5,36.3,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,-6.7,10.4,35.3,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,8.1,17.4,44.1,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,no
Koehler et al._2012,Soil,6.1,16.1,39.7,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,no
Koehler et al._2012,Soil,4.8,14.3,38,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,no
Koehler et al._2012,Soil,3.8,14.9,37.3,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,3.5,20.1,38.4,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,no
Koehler et al._2012,Soil,0.7,15.8,36.2,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Koehler et al._2012,Soil,-0.9,16.9,37.3,Gigante Peninsula_Panama_tropical forest soil_profile_wet season_October 2006 to October 2009,yes
Li et al._2014,Groundwater,-45.8,,26.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-44.7,,30.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-43.9,,29.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-42.7,,28,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-42.1,,26.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-41.1,,48.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-39.4,,37.9,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-37.8,,35.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-37.3,,52,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-37.1,,44.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-35.7,,22.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-35.6,,30.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-35.6,,28.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-35.5,,21.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-35,,58.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-34.8,,34.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-34.2,,53.3,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-34.2,,21.9,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-34.1,,32.1,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-34.1,,26.9,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-33.9,,25.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-33.9,,35.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-33.5,,21,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-33.2,,30.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-32.2,,30.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-31.7,,20.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-31.6,,49.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-30.9,,29.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-30.7,,49.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-30.7,,60.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-30.5,,56.9,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-30.1,,56.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-30,,23,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-29.1,,32.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-28.2,,31.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-28.1,,37.1,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-28.1,,43,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-27.5,,60.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-27.3,,35.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-27.3,,50.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-27.3,,41.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-26.7,,49.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-25.6,,43.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-25.3,,28.9,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-24.8,,58,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-24.7,,49.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-24.7,,55.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-24.2,,45.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-23.4,,39,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-22.7,,65.3,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-22.6,,50.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-22.2,,52.4,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-21.6,,45.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-21,,66.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-20.5,,59.1,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-20.4,,26.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-19.1,,45.2,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-19,,26.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-19,,54.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-18.9,,62,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-18.8,,47.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-17.2,,49.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-17,,64.3,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-17,,49.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-16,,52.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-15.8,,53,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-15,,70.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-14.7,,53.1,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-14.3,,73.3,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
Li et al._2014,Groundwater,-14.1,,64.6,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
